"Year","Mean","Number of Trend Sites","10th Percentile","90th Percentile"
"2000","13.4973832371194","390","8.72634402175776","18.0431053525816"
"2001","13.2250673113692","390","8.65033856056908","17.3075463559834"
"2002","12.8271199023202","390","8.60531673503618","16.6234218983458"
"2003","12.3320060075355","390","7.90210196149697","16.244334664498"
"2004","12.0231754158286","390","7.64997502821613","15.668796787798"
"2005","12.868946956144","390","7.71384255593634","16.9207362372518"
"2006","11.6226688569447","390","7.73827737297026","14.9997458791208"
"2007","11.9204330028525","390","7.46014940977993","15.6149794745484"
"2008","10.8916416824868","390","7.3543321567722","13.7232835345338"
"2009","9.88377006406242","390","6.92416975123387","12.4083811642566"
"2010","10.0018381379357","390","6.6586986573311","13.2828655900544"
"2011","9.82031469258116","390","6.68205418494065","12.3159489233884"
"2012","9.18927123634642","390","6.64330668151596","11.5886268305251"
"2013","8.96708561285112","390","6.40536147440059","11.3357473486838"
"2014","8.87406020071809","390","6.10326044853609","11.2223825447482"
"2015","8.5359917645595","390","6.08275655934721","10.7521739603909"
"2016","7.7540188156527","390","5.61735493140526","9.60888705372588"
"2017","8.06148978997799","390","5.8240737741343","9.94940377967938"
"2018","8.22323793746651","390","6.13881591462333","10.5581061685666"
"2019","7.63464579181433","390","5.75541388970815","9.51243356432383"
"2020","8.02338658163136","390","5.83454843479742","10.5558822333411"
