"Year","Mean","Number of Trend Sites","10th Percentile","90th Percentile"
"1980","9.45833333333333","36","4.6","16.8"
"1981","9.20972222222222","36","3.9","14.6"
"1982","8.58611111111111","36","4.8","13.9"
"1983","9.10555555555555","36","4.5","16.2"
"1984","8.33888888888889","36","4.4","13.7"
"1985","7.79583333333333","36","3.9","12.3"
"1986","7.86111111111111","36","4.5","12.6"
"1987","7.23888888888889","36","4.5","10.2"
"1988","7.16388888888889","36","4.1","10.5"
"1989","6.93888888888889","36","3.6","10.4"
"1990","6.39444444444444","36","3.5","9.7"
"1991","6.55833333333333","36","3.8","9.8"
"1992","5.86111111111111","36","3.3","8.1"
"1993","5.37222222222222","36","3.1","7.4"
"1994","5.71944444444444","36","2.8","8.4"
"1995","5.23055555555555","36","2.7","8.6"
"1996","4.63611111111111","36","2.7","7.3"
"1997","4.24166666666666","36","2.4","6.4"
"1998","4.13333333333333","36","2.3","6.3"
"1999","4.2","36","2.2","6.6"
"2000","3.79166666666666","36","2","5.4"
"2001","3.35277777777777","36","1.8","4.9"
"2002","2.99722222222222","36","1.8","4.4"
"2003","2.83888888888888","36","1.8","3.9"
"2004","2.75833333333333","36","1.6","3.9"
"2005","2.33611111111111","36","1.4","3.4"
"2006","2.27222222222222","36","1.3","3.1"
"2007","2.00277777777777","36","1.1","2.8"
"2008","1.8","36","1.1","2.9"
"2009","1.75833333333333","36","0.8","2.6"
"2010","1.62777777777777","36","0.9","2.4"
"2011","1.64444444444444","36","1","2.4"
"2012","1.59305555555555","36","0.8","2.3"
"2013","1.49722222222222","36","0.9","2.2"
"2014","1.52222222222222","36","0.9","2.4"
"2015","1.45277777777777","36","0.9","2"
"2016","1.38055555555555","36","0.9","1.8"
"2017","1.36111111111111","36","0.7","2.1"
"2018","1.56388888888888","36","0.8","2.7"
"2019","1.27499999999999","36","0.7","1.8"
"2020","1.79722222222222","36","0.8","2"
