"Year","Mean","Number of Trend Sites","10th Percentile","90th Percentile"
"2000","2.57857142857142","14","1.2","3.8"
"2001","2.49285714285714","14","1.2","3.3"
"2002","2.34285714285714","14","1.5","3"
"2003","2.17857142857142","14","1.5","2.9"
"2004","2.00714285714285","14","1.4","3.2"
"2005","1.89285714285714","14","1.2","2.8"
"2006","1.8","14","1.2","2.6"
"2007","1.61428571428571","14","0.9","2.4"
"2008","1.33571428571428","14","0.9","1.8"
"2009","1.35","14","0.8","1.9"
"2010","1.42857142857142","14","0.9","1.9"
"2011","1.36428571428571","14","0.8","1.8"
"2012","1.3","14","0.7","1.8"
"2013","1.27142857142857","14","0.8","1.7"
"2014","1.27857142857142","14","0.9","1.8"
"2015","1.23571428571428","14","0.8","1.6"
"2016","1.15714285714285","14","0.7","1.9"
"2017","0.93571428571428","14","0.6","1.3"
"2018","1.09285714285714","14","0.7","1.6"
"2019","1.05714285714285","14","0.6","1.6"
"2020","1.11428571428571","14","0.6","1.6"
