"Year","Mean","Number of Trend Sites","10th Percentile","90th Percentile"
"2000","3.45","2","3.1","3.8"
"2001","3.2","2","3.2","3.2"
"2002","3.05","2","3","3.1"
"2003","3.15","2","3.1","3.2"
"2004","3.05","2","2.4","3.7"
"2005","2.35","2","2.2","2.5"
"2006","2.4","2","2.1","2.7"
"2007","2.15","2","1.6","2.7"
"2008","2.7","2","2.5","2.9"
"2009","2.8","2","2.3","3.3"
"2010","2.35","2","2.3","2.4"
"2011","2","2","1.6","2.4"
"2012","1.85","2","1.6","2.1"
"2013","1.6","2","1.4","1.8"
"2014","1.7","2","1.3","2.1"
"2015","2.2","2","1.9","2.5"
"2016","1.85","2","1.2","2.5"
"2017","2.6","2","1.1","4.1"
"2018","1.6","2","1.6","1.6"
"2019","1.35","2","1.3","1.4"
"2020","7.8","2","1.5","14.1"
