"Year","Mean","Number of Trend Sites","10th Percentile","90th Percentile"
"2000","3.73333333333333","3","2.6","5"
"2001","3.56666666666666","3","2.3","4.8"
"2002","3.1","3","2.8","3.7"
"2003","3.43333333333333","3","3","4.2"
"2004","2.3","3","1.8","2.7"
"2005","2.3","3","1.7","3.1"
"2006","2.43333333333333","3","1.8","3.3"
"2007","1.73333333333333","3","1.5","2.1"
"2008","1.5","3","1.3","1.8"
"2009","1.26666666666666","3","1.1","1.6"
"2010","1.53333333333333","3","1","2"
"2011","1.33333333333333","3","1.1","1.5"
"2012","1.56666666666666","3","1.1","1.9"
"2013","1.53333333333333","3","1.1","1.8"
"2014","1.16666666666666","3","1.1","1.3"
"2015","1.13333333333333","3","1","1.2"
"2016","1.03333333333333","3","1","1.1"
"2017","1.1","3","0.9","1.4"
"2018","1.33333333333333","3","1.1","1.7"
"2019","1.1","3","0.9","1.3"
"2020","0.96666666666666","3","0.8","1.1"
