"Year","Mean","Number of Trend Sites","10th Percentile","90th Percentile"
"2000","2.98333333333333","6","2.1","3.8"
"2001","3.41666666666666","6","2","6.3"
"2002","2.85","6","2.3","3.7"
"2003","2.38333333333333","6","1.5","3.1"
"2004","2.81666666666666","6","1.6","5.3"
"2005","2.01666666666666","6","1.5","2.5"
"2006","1.93333333333333","6","1.2","3.1"
"2007","1.75","6","1","2.1"
"2008","1.43333333333333","6","1","2.2"
"2009","1.56666666666666","6","0.6","2.9"
"2010","1.36666666666666","6","0.7","2.2"
"2011","1.31666666666666","6","0.9","2.1"
"2012","1.35","6","1.1","1.7"
"2013","1.05","6","0.7","1.7"
"2014","1.33333333333333","6","0.8","2.4"
"2015","1.23333333333333","6","0.6","1.9"
"2016","1.25","6","0.7","1.6"
"2017","1.11666666666666","6","0.6","1.4"
"2018","1.03333333333333","6","0.5","1.2"
"2019","1.01666666666666","6","0.5","1.3"
"2020","0.93333333333333","6","0.5","1.2"
