"Year","Mean","Number of Trend Sites","10th Percentile","90th Percentile"
"2000","2.76666666666666","6","1.4","5.1"
"2001","2.45","6","1","5.1"
"2002","2.45","6","0.3","3.9"
"2003","2.03333333333333","6","0.4","4.3"
"2004","1.68333333333333","6","0.2","3.2"
"2005","1.51666666666666","6","0.2","3"
"2006","1.65","6","0.3","2.5"
"2007","1.18333333333333","6","0.3","1.8"
"2008","1.03333333333333","6","0.4","2.4"
"2009","1.46666666666666","6","0.6","2"
"2010","1.5","6","0.9","2.2"
"2011","1.01666666666666","6","0.2","1.7"
"2012","1.08333333333333","6","0.3","1.5"
"2013","1.13333333333333","6","0.5","2.5"
"2014","0.98333333333333","6","0.5","1.6"
"2015","1.03333333333333","6","0.5","1.7"
"2016","0.95","6","0.5","1.7"
"2017","1.05","6","0.6","1.6"
"2018","1.51666666666666","6","0.6","3.9"
"2019","1.13333333333333","6","0.6","1.5"
"2020","1.03333333333333","6","0.4","1.5"
