"Year","Mean","Number of Trend Sites","10th Percentile","90th Percentile"
"2000","3.22285714285714","35","1.4","6"
"2001","2.85714285714285","35","1.4","4.8"
"2002","2.54285714285714","35","1","4.4"
"2003","2.39142857142857","35","0.9","3.9"
"2004","2.14857142857142","35","0.8","3.8"
"2005","1.96857142857142","35","0.8","3.2"
"2006","1.92857142857142","35","0.9","3"
"2007","1.76285714285714","35","0.8","2.7"
"2008","1.55142857142857","35","0.8","2.5"
"2009","1.47142857142857","35","0.6","2.4"
"2010","1.35714285714285","35","0.5","2.1"
"2011","1.36857142857142","35","0.5","2.4"
"2012","1.32571428571428","35","0.5","2.3"
"2013","1.33428571428571","35","0.6","2.2"
"2014","1.33428571428571","35","0.5","2.4"
"2015","1.32","35","0.5","2"
"2016","1.32857142857142","35","0.6","1.9"
"2017","1.31428571428571","35","0.7","2"
"2018","1.38","35","0.7","2.1"
"2019","1.08285714285714","35","0.6","1.5"
"2020","1.36857142857142","35","0.6","2"
