"Year","Mean","Number of Trend Sites","10th Percentile","90th Percentile"
"2000","61.3636363636363","11","45","74"
"2001","62.1818181818181","11","44","76"
"2002","62.2727272727272","11","42","85"
"2003","58.5454545454545","11","40","80"
"2004","55.6363636363636","11","36","70"
"2005","58.4545454545454","11","38","75"
"2006","53.5","11","38.5","67"
"2007","54.9090909090909","11","39","67"
"2008","52.2272727272727","11","42","66"
"2009","49.5454545454545","11","36","60"
"2010","51.4772727272727","11","38","60"
"2011","47.4545454545454","11","33.5","62"
"2012","46.6878787878787","11","31","63"
"2013","47.0757575757575","11","31","62"
"2014","46.1181818181818","11","32","64"
"2015","45.2363636363636","11","35","60.8"
"2016","43.4954545454545","11","29","58.75"
"2017","41.0272727272727","11","30","54.1"
"2018","41.45","11","28","55.4"
"2019","41.3272727272727","11","27","54.1"
"2020","39.5181818181818","11","27","50.2"
