"Year","Mean","Number of Trend Sites","10th Percentile","90th Percentile"
"1980","112.9","20","66.5","190"
"1981","109.9","20","66.5","190"
"1982","110.1","20","66.5","190"
"1983","99.55","20","59.5","165"
"1984","93.0583333333333","20","59.8333333333333","145"
"1985","97.4666666666666","20","57.1666666666666","175"
"1986","98.15","20","57.5","180"
"1987","98.2","20","62.5","165"
"1988","102.725","20","62.5","182.5"
"1989","100.95","20","57.5","170"
"1990","94.45","20","52.5","170"
"1991","96.45","20","56","175"
"1992","83.4","20","53","145"
"1993","81.3","20","52","140"
"1994","84.25","20","53","133.5"
"1995","84.65","20","52.5","165.5"
"1996","76.25","20","50","133.75"
"1997","71.85","20","48.5","112"
"1998","69.4","20","45","119"
"1999","73.925","20","48","123.5"
"2000","66.55","20","45.5","114"
"2001","66.375","20","44.5","105.5"
"2002","64","20","43.5","98.5"
"2003","63.65","20","42.5","100"
"2004","57.7583333333333","20","40.5","89"
"2005","56.3416666666666","20","40","79"
"2006","55.6","20","41","84"
"2007","54.85","20","39.5","82.75"
"2008","53.85","20","37","81.75"
"2009","49.365","20","36","73.4"
"2010","48.26","20","38.5","65.05"
"2011","48.0825","20","36.95","63.625"
"2012","45.175","20","34.85","61.05"
"2013","46.0358333333333","20","34.35","61.575"
"2014","47.8941666666666","20","38.025","62.4"
"2015","44.905","20","32","59.75"
"2016","43.62","20","31.7","59.65"
"2017","43.855","20","31.8","58.65"
"2018","43.615","20","31.6","57.55"
"2019","42.0675","20","30.9","56.6"
"2020","40.485","20","29.35","54.95"
