"Year","Mean","Number of Trend Sites","10th Percentile","90th Percentile"
"2000","59.7368421052631","19","44","79"
"2001","60.6210526315789","19","44","76"
"2002","57.6280701754386","19","41","74"
"2003","56.2877192982456","19","42","76"
"2004","53.5263157894736","19","38","76"
"2005","55.8526315789473","19","42","74"
"2006","51.4578947368421","19","38.7","68"
"2007","49.1859649122807","19","36","66.3333333333333"
"2008","48.8035087719298","19","39","64.6666666666666"
"2009","47.4447368421052","19","36","63"
"2010","46.8105263157894","19","35","68"
"2011","48.1421052631579","19","36","64"
"2012","41.6157894736842","19","31","63"
"2013","41.9421052631578","19","34","62"
"2014","44.8052631578947","19","37.6","61"
"2015","45.7368421052631","19","28","57"
"2016","42.4315789473684","19","32","58"
"2017","40.1526315789473","19","31","56"
"2018","39.9631578947368","19","31","56"
"2019","39.4815789473684","19","25.6","57.5"
"2020","37.7263157894736","19","24","51.1"
