"Year","Mean","Number of Trend Sites","10th Percentile","90th Percentile"
"2000","27.5","4","6","40"
"2001","26.25","4","6","40"
"2002","20","4","6","33"
"2003","23","4","9","39"
"2004","22.75","4","8","42"
"2005","22","4","6","38"
"2006","23","4","8","38"
"2007","21.75","4","7","36"
"2008","21.5","4","7","39"
"2009","24","4","7","42"
"2010","25.75","4","10","44"
"2011","22.75","4","10","40"
"2012","22.5","4","9","34"
"2013","22.4166666666666","4","11","36"
"2014","23.2958333333333","4","11.25","34.2"
"2015","20.15","4","11.5","30.8"
"2016","17.425","4","9.9","27"
"2017","19.175","4","8.6","34"
"2018","18.65","4","9","31.5"
"2019","21.225","4","12.5","39.3"
"2020","19.35","4","8.1","34.2"
