"Year","Mean","Number of Trend Sites","10th Percentile","90th Percentile"
"2000","55.5","2","41","70"
"2001","55.5","2","41","70"
"2002","49","2","33","65"
"2003","47","2","34","60"
"2004","45","2","36","54"
"2005","43.75","2","37","50.5"
"2006","41.1666666666666","2","35.3333333333333","47"
"2007","40.8333333333333","2","33.6666666666666","48"
"2008","40.5","2","32","49"
"2009","39.5","2","29","50"
"2010","41.75","2","29.5","54"
"2011","39.5","2","30","49"
"2012","35","2","29","41"
"2013","35","2","29","41"
"2014","40","2","28","52"
"2015","35","2","25","45"
"2016","33.075","2","23.85","42.3"
"2017","32.4","2","22.7","42.1"
"2018","35.55","2","28.2","42.9"
"2019","33.7","2","24.5","42.9"
"2020","32.35","2","21.8","42.9"
