"Year","Mean","Number of Trend Sites","10th Percentile","90th Percentile"
"2000","0.08210714285714","140","0.072","0.093"
"2001","0.0822","140","0.073","0.09"
"2002","0.0919","140","0.082","0.1"
"2003","0.08093571428571","140","0.071","0.09"
"2004","0.07026428571428","140","0.063","0.077"
"2005","0.08067857142857","140","0.075","0.089"
"2006","0.07477857142857","140","0.0665","0.083"
"2007","0.08027142857142","140","0.073","0.087"
"2008","0.07028571428571","140","0.0615","0.0785"
"2009","0.06636428571428","140","0.061","0.072"
"2010","0.07115714285714","140","0.0645","0.078"
"2011","0.07287142857142","140","0.066","0.0805"
"2012","0.07806428571428","140","0.07","0.087"
"2013","0.06448214285714","140","0.0595","0.07"
"2014","0.06505","140","0.06","0.07"
"2015","0.06533571428571","140","0.06","0.07"
"2016","0.06819999999999","140","0.063","0.0745"
"2017","0.06567857142857","140","0.06","0.071"
"2018","0.06834285714285","140","0.0625","0.0745"
"2019","0.06340714285714","140","0.059","0.0695"
"2020","0.06372857142857","140","0.056","0.0735"
