"Year","Mean","Number of Trend Sites","10th Percentile","90th Percentile"
"1990","0.08770558375634","394","0.068","0.108"
"1991","0.08824661590524","394","0.067","0.11"
"1992","0.08367724196277","394","0.068","0.098"
"1993","0.08478934010152","394","0.065","0.103"
"1994","0.08508756345177","394","0.069","0.099"
"1995","0.08955583756345","394","0.071","0.109"
"1996","0.08527072758037","394","0.07","0.1"
"1997","0.08461759729272","394","0.068","0.102"
"1998","0.0895964467005","394","0.071","0.107"
"1999","0.08742385786802","394","0.07","0.104"
"2000","0.08170431472081","394","0.067","0.098"
"2001","0.08295558375634","394","0.067","0.098"
"2002","0.08725888324873","394","0.068","0.105"
"2003","0.08178934010152","394","0.069","0.096"
"2004","0.07495431472081","394","0.064","0.087"
"2005","0.07978299492385","394","0.065","0.093"
"2006","0.07840736040609","394","0.065","0.092"
"2007","0.07868020304568","394","0.067","0.091"
"2008","0.07482106598984","394","0.064","0.088"
"2009","0.06944162436548","394","0.06","0.08"
"2010","0.07292724196277","394","0.063","0.084"
"2011","0.07359306260575","394","0.061","0.085"
"2012","0.0751116751269","394","0.063","0.087"
"2013","0.06708756345177","394","0.059","0.078"
"2014","0.06749661590524","394","0.06","0.078"
"2015","0.06844881556683","394","0.06","0.079"
"2016","0.06880710659898","394","0.06","0.079"
"2017","0.0682347715736","394","0.06","0.078"
"2018","0.06929441624365","394","0.06","0.08"
"2019","0.06520939086294","394","0.056","0.075"
"2020","0.06595939086294","394","0.054","0.08"
