"Year","Mean","Number of Trend Sites","10th Percentile","90th Percentile"
"2000","0.08271929824561","114","0.069","0.098"
"2001","0.09207894736842","114","0.083","0.102"
"2002","0.09721052631578","114","0.087","0.109"
"2003","0.08356432748538","114","0.074","0.092"
"2004","0.07700584795321","114","0.069","0.085"
"2005","0.08423684210526","114","0.073","0.092"
"2006","0.07921052631578","114","0.067","0.09"
"2007","0.08249122807017","114","0.074","0.091"
"2008","0.07733333333333","114","0.069","0.085"
"2009","0.0679649122807","114","0.062","0.073"
"2010","0.07594736842105","114","0.068","0.084"
"2011","0.07368421052631","114","0.063","0.085"
"2012","0.07650877192982","114","0.065","0.086"
"2013","0.06844736842105","114","0.063","0.076"
"2014","0.06553508771929","114","0.06","0.072"
"2015","0.06928947368421","114","0.063","0.077"
"2016","0.07","114","0.063","0.078"
"2017","0.06726315789473","114","0.06","0.076"
"2018","0.06820175438596","114","0.061","0.075"
"2019","0.06295175438596","114","0.054","0.071"
"2020","0.06088596491228","114","0.054","0.068"
