"Year","Mean","Number of Trend Sites","10th Percentile","90th Percentile"
"2000","0.083390625","128","0.074","0.096"
"2001","0.0807734375","128","0.071","0.092"
"2002","0.0828515625","128","0.066","0.099"
"2003","0.077671875","128","0.07","0.086"
"2004","0.0741328125","128","0.068","0.082"
"2005","0.07711328124999","128","0.069","0.085"
"2006","0.0776484375","128","0.07","0.086"
"2007","0.077796875","128","0.068","0.089"
"2008","0.07410677083333","128","0.067","0.082"
"2009","0.06464322916666","128","0.058","0.07"
"2010","0.07059375","128","0.065","0.078"
"2011","0.070546875","128","0.062","0.079"
"2012","0.0688046875","128","0.061","0.079"
"2013","0.0624140625","128","0.058","0.067"
"2014","0.06307421875","128","0.059","0.068"
"2015","0.06220703125","128","0.057","0.068"
"2016","0.064421875","128","0.059","0.07"
"2017","0.0625","128","0.058","0.067"
"2018","0.0633671875","128","0.059","0.067"
"2019","0.062984375","128","0.057","0.07"
"2020","0.0569765625","128","0.052","0.062"
