"Year","Mean","Number of Trend Sites","10th Percentile","90th Percentile"
"2000","0.07712962962962","54","0.069","0.086"
"2001","0.07407407407407","54","0.066","0.083"
"2002","0.07798148148148","54","0.072","0.086"
"2003","0.07783333333333","54","0.07","0.086"
"2004","0.07066666666666","54","0.066","0.075"
"2005","0.0759074074074","54","0.069","0.084"
"2006","0.07575","54","0.069","0.083"
"2007","0.073","54","0.068","0.078"
"2008","0.07266666666666","54","0.067","0.078"
"2009","0.06714814814814","54","0.063","0.072"
"2010","0.06994444444444","54","0.065","0.076"
"2011","0.0732037037037","54","0.068","0.078"
"2012","0.07466666666666","54","0.069","0.08"
"2013","0.07212962962962","54","0.065","0.079"
"2014","0.06921604938271","54","0.063","0.076"
"2015","0.06957098765432","54","0.065","0.075"
"2016","0.06881481481481","54","0.064","0.074"
"2017","0.07166666666666","54","0.066","0.077"
"2018","0.07283333333333","54","0.068","0.078"
"2019","0.06877777777777","54","0.064","0.075"
"2020","0.07429629629629","54","0.067","0.083"
