"Year","Mean","Number of Trend Sites","10th Percentile","90th Percentile"
"2000","0.07560784313725","51","0.066","0.084"
"2001","0.0843725490196","51","0.069","0.095"
"2002","0.08496078431372","51","0.07","0.098"
"2003","0.08305882352941","51","0.07","0.095"
"2004","0.06929411764705","51","0.062","0.077"
"2005","0.08172549019607","51","0.07","0.093"
"2006","0.07241176470588","51","0.064","0.081"
"2007","0.07974509803921","51","0.07","0.089"
"2008","0.06582352941176","51","0.059","0.073"
"2009","0.06682352941176","51","0.06","0.073"
"2010","0.06935294117647","51","0.061","0.078"
"2011","0.07160784313725","51","0.064","0.081"
"2012","0.0796862745098","51","0.069","0.091"
"2013","0.06655882352941","51","0.06","0.073"
"2014","0.06696078431372","51","0.061","0.073"
"2015","0.0662156862745","51","0.06","0.074"
"2016","0.06996078431372","51","0.061","0.077"
"2017","0.06505882352941","51","0.06","0.071"
"2018","0.06954901960784","51","0.063","0.076"
"2019","0.06158823529411","51","0.057","0.068"
"2020","0.06794117647058","51","0.058","0.076"
