"Year","Mean","Number of Trend Sites","10th Percentile","90th Percentile"
"2000","75.0322580645161","31","46","123"
"2001","74.7096774193548","31","40","109"
"2002","68.8709677419355","31","39","106"
"2003","66.0645161290322","31","37","109"
"2004","70.6989247311828","31","40","133"
"2005","73.268817204301","31","50","115"
"2006","59.1935483870967","31","36","90"
"2007","66.1935483870967","31","41","97"
"2008","57.2903225806451","31","35","95"
"2009","46.9677419354838","31","32","67"
"2010","56.3225806451613","31","35","75"
"2011","55.5483870967742","31","31","82"
"2012","58.5967741935483","31","29","113"
"2013","49.5483870967742","31","27","101"
"2014","48.0645161290322","31","27","92"
"2015","55","31","30","121"
"2016","50.9354838709677","31","27","86"
"2017","42.2258064516129","31","20","69"
"2018","43.4354838709677","31","23","74"
"2019","42.2258064516129","31","21","70"
"2020","44.6774193548387","31","21","66"
