"Year","Mean","Number of Trend Sites","10th Percentile","90th Percentile"
"1990","86.21","100","45","145"
"1991","85.37","100","46","134"
"1992","73.54","100","39","112"
"1993","73.97","100","41","124"
"1994","72.135","100","34","124.5"
"1995","73.925","100","37","132"
"1996","64.05","100","34","105.5"
"1997","65.81","100","36.5","112"
"1998","62.7533333333333","100","37","105"
"1999","66.3866666666666","100","39","108.5"
"2000","64.47","100","36","102.5"
"2001","62.47","100","37","96"
"2002","61.265","100","37","95"
"2003","65.56","100","31.5","117"
"2004","56.24","100","29.5","85.5"
"2005","58.93","100","33","94"
"2006","58.41","100","34","94"
"2007","63.69","100","34","94"
"2008","56.26","100","32","87"
"2009","50.32","100","26","80.5"
"2010","49.11","100","28","74"
"2011","55.22","100","30","80"
"2012","53.27","100","28","91"
"2013","57.2433333333333","100","25","95.5"
"2014","55.9466666666666","100","26.5","100.5"
"2015","55","100","29","78"
"2016","51.88","100","25","90"
"2017","57.43","100","25","96.5"
"2018","65.425","100","27","142.5"
"2019","45.95","100","24.5","73"
"2020","63.64","100","24.5","114.5"
