"Year","Mean","Number of Trend Sites","10th Percentile","90th Percentile"
"2000","65.4102564102564","39","26","118"
"2001","64.4871794871795","39","25","101"
"2002","71.8974358974359","39","29","123"
"2003","73.2820512820512","39","26","138"
"2004","72.025641025641","39","21","103"
"2005","64.9487179487179","39","25","114"
"2006","68.4615384615384","39","25","117"
"2007","73.4102564102564","39","29","126"
"2008","70.2564102564102","39","28","108"
"2009","59.6581196581196","39","23","106"
"2010","62.059829059829","39","20","108"
"2011","59.6923076923077","39","24","103"
"2012","83.6666666666666","39","37","136"
"2013","59.6666666666666","39","31","89"
"2014","65.9230769230769","39","25","106"
"2015","71.4615384615384","39","28","130"
"2016","52.4615384615384","39","23","84"
"2017","82.5128205128205","39","39","144"
"2018","65.025641025641","39","32","107"
"2019","48.9743589743589","39","20","85"
"2020","78.1794871794871","39","27","145"
