"Year","Mean","Number of Trend Sites","10th Percentile","90th Percentile"
"2000","83.5","6","63","124"
"2001","86.5","6","58","124"
"2002","87","6","68","135"
"2003","66.5","6","47","88"
"2004","57.1666666666666","6","49","67"
"2005","74.5","6","51","93"
"2006","64.6666666666666","6","45","95"
"2007","62.6666666666666","6","31","81"
"2008","62.3333333333333","6","45","90"
"2009","62.6666666666666","6","45","83"
"2010","59.3333333333333","6","26","106"
"2011","76.1666666666666","6","37","156"
"2012","113.333333333333","6","41","194"
"2013","74.1666666666666","6","40","99"
"2014","56.3333333333333","6","34","87"
"2015","84.8333333333333","6","31","194"
"2016","49","6","25","72"
"2017","135","6","94","173"
"2018","72.3333333333333","6","60","99"
"2019","58.6666666666666","6","43","83"
"2020","179.666666666666","6","48","423"
