"Year","Mean","Number of Trend Sites","10th Percentile","90th Percentile"
"2000","61.0526315789473","19","41","102"
"2001","57.1578947368421","19","31","98"
"2002","60.2105263157894","19","42","129"
"2003","62.7368421052631","19","38","95"
"2004","53.5263157894736","19","36","102"
"2005","52.1578947368421","19","33","96"
"2006","63.4210526315789","19","34","99"
"2007","57.9473684210526","19","36","96"
"2008","52.2105263157894","19","33","91"
"2009","53.4736842105263","19","33","102"
"2010","49","19","34","82"
"2011","62.1228070175438","19","36","145"
"2012","66.4561403508772","19","28","128"
"2013","64.7894736842105","19","44","80"
"2014","68.1052631578947","19","45","107"
"2015","56.8947368421052","19","36","80"
"2016","49.2105263157894","19","30","77"
"2017","53.4736842105263","19","32","80"
"2018","73.8947368421052","19","40","114"
"2019","53.7894736842105","19","34","79"
"2020","73.9473684210526","19","38","101"
