"Year","Mean","Number of Trend Sites","10th Percentile","90th Percentile"
"2000","63.3043478260869","23","39","103"
"2001","55.9130434782608","23","36","85"
"2002","49.9782608695652","23","36","69"
"2003","54.1304347826087","23","32","65"
"2004","57.4782608695652","23","33","97"
"2005","57.0434782608695","23","37","79"
"2006","57.1304347826087","23","36","81"
"2007","63.9565217391304","23","37","87"
"2008","51.1739130434782","23","32","73"
"2009","39.1304347826087","23","27","49"
"2010","48.1739130434782","23","33","67"
"2011","41.8695652173913","23","28","61"
"2012","39.8043478260869","23","28","57"
"2013","36.6521739130434","23","22","54"
"2014","43.695652173913","23","23","73"
"2015","44.2608695652173","23","26","57"
"2016","37.8260869565217","23","24","64"
"2017","40","23","20","58"
"2018","36.3043478260869","23","22","54"
"2019","44.0869565217391","23","23","60"
"2020","44.2608695652173","23","20","66"
