"Year","Mean","Number of Trend Sites","10th Percentile","90th Percentile"
"2000","82.8684210526315","38","39","132"
"2001","77.2368421052631","38","46","122"
"2002","85.8421052631579","38","45","135"
"2003","108.526315789473","38","41","174"
"2004","78.0526315789473","38","33","139"
"2005","82.1315789473684","38","40","155"
"2006","99","38","44","220"
"2007","90.9736842105263","38","48","151"
"2008","95.1842105263158","38","48","166"
"2009","98.5","38","41","177"
"2010","80.7105263157894","38","32","166"
"2011","132.131578947368","38","38","307"
"2012","106.894736842105","38","43","221"
"2013","124.052631578947","38","44","228"
"2014","104.710526315789","38","49","169"
"2015","75.3508771929824","38","34","107"
"2016","86.1228070175438","38","35","159"
"2017","83.578947368421","38","44","134"
"2018","115.315789473684","38","39","235"
"2019","63.8421052631579","38","33","95"
"2020","90","38","48","139"
