"Year","Mean","Number of Trend Sites","10th Percentile","90th Percentile"
"2000","65.3333333333333","12","37","113"
"2001","62.4166666666666","12","41","86"
"2002","64.3333333333333","12","41","96"
"2003","69.6666666666666","12","44","138"
"2004","69","12","30","139"
"2005","68.75","12","53","87"
"2006","58.4166666666666","12","34","70"
"2007","63.5833333333333","12","42","80"
"2008","51.1666666666666","12","37","65"
"2009","46.5833333333333","12","30","55"
"2010","54.4166666666666","12","32","81"
"2011","51.1666666666666","12","35","71"
"2012","49.25","12","29","63"
"2013","43.4166666666666","12","27","57"
"2014","46.4166666666666","12","32","58"
"2015","49.5","12","29","67"
"2016","51","12","31","64"
"2017","48.5","12","29","63"
"2018","49.6666666666666","12","30","85"
"2019","46.5833333333333","12","31","70"
"2020","49.0833333333333","12","27","69"
