"Year","Mean","Number of Trend Sites","10th Percentile","90th Percentile"
"2000","237.943396226415","53","40","161"
"2001","329.150943396226","53","44","186"
"2002","230.632075471698","53","45","303"
"2003","270.566037735849","53","32","227"
"2004","192.132075471698","53","38","137"
"2005","150.716981132075","53","32","111"
"2006","191.169811320754","53","44","155"
"2007","84.9811320754717","53","35","152"
"2008","97.9622641509434","53","38","144"
"2009","74.2075471698113","53","30","103"
"2010","88.4150943396226","53","30","86"
"2011","90.8679245283018","53","34","102"
"2012","85.0943396226415","53","29","138"
"2013","84.5849056603773","53","30","131"
"2014","78.3679245283018","53","29","117"
"2015","76.5566037735849","53","29.5","161"
"2016","79.377358490566","53","27","140"
"2017","113.657232704402","53","41","152"
"2018","102.276729559748","53","43.6666666666666","180"
"2019","77.8301886792452","53","34","144"
"2020","114","53","45","153"
