"Year","Mean","Number of Trend Sites","10th Percentile","90th Percentile"
"2000","13.7979797345226","78","10.6721444154998","16.4480105820106"
"2001","14.0501121604444","78","11.1264692202758","16.69969348659"
"2002","13.4185141185024","78","10.8461138204857","15.9809958474262"
"2003","13.2803901829878","78","9.88104395604396","16.1814435893083"
"2004","12.7446338572774","78","9.52823598092621","15.3781066264103"
"2005","13.6456823597593","78","10.2568672068672","16.5349137931034"
"2006","11.8555524847094","78","8.82533926585095","14.4151751946607"
"2007","12.3758499672983","78","9.21318942399402","15.1061813186813"
"2008","11.3228177949166","78","8.66703863346105","13.6335055043523"
"2009","9.92014161440126","78","7.59949791587723","12.1932984254308"
"2010","9.95554274983448","78","7.54597701149425","13.0055476190476"
"2011","10.0128149021652","78","7.8351724137931","12.2142315905563"
"2012","9.26508768565186","78","7.21397599897322","11.5073924466338"
"2013","8.80751085377339","78","6.82360215053763","11.2225887056472"
"2014","8.71181749779409","78","6.09603421791408","10.7677420091316"
"2015","8.71380105562784","78","6.25737610361486","10.4428247594307"
"2016","7.50330760728806","78","5.59903781979978","9.41331078074267"
"2017","7.6095896409253","78","5.14536098310292","9.9530279894663"
"2018","7.45262510537791","78","5.34460245975852","8.91303904993366"
"2019","7.31363592848277","78","5.57355637657362","9.04430741318724"
"2020","7.02283911440323","78","5.62539241595158","8.54057884093861"
