"Year","Mean","Number of Trend Sites","10th Percentile","90th Percentile"
"2000","108.333333333333","42","48","186"
"2001","109.095238095238","42","51","191"
"2002","96.1071428571428","42","43","157"
"2003","105.428571428571","42","45","183"
"2004","100.690476190476","42","42","172"
"2005","104.345238095238","42","42","167"
"2006","100.416666666666","42","40","170"
"2007","95.7380952380952","42","33","169"
"2008","87.6071428571428","42","35","159"
"2009","75.3261904761904","42","28","138"
"2010","67.5773809523809","42","25","122.5"
"2011","57.0714285714285","42","22","114"
"2012","56.6861111111111","42","16","108"
"2013","46.8972222222222","42","16","79.1"
"2014","46.2119047619047","42","16","105.6"
"2015","41.4119047619047","42","13","71.3"
"2016","31.9595238095238","42","7","53"
"2017","16.1087301587301","42","4","36.2"
"2018","16.5428571428571","42","4.5","36.8"
"2019","16.1888888888888","42","4","34"
"2020","15.4571428571428","42","3.7","38"
