"Year","Mean","Number of Trend Sites","10th Percentile","90th Percentile"
"1980","162.35625","32","50","271"
"1981","154.04375","32","50","251"
"1982","141.371875","32","40","250"
"1983","153.59375","32","37","321"
"1984","141.753125","32","30","280"
"1985","144.3","32","40","250"
"1986","141.740625","32","30","258"
"1987","135.365625","32","25","242"
"1988","136.682291666666","32","30","220"
"1989","136.567708333333","32","30","261"
"1990","118.4375","32","40","188"
"1991","113.40625","32","30","218"
"1992","111.328125","32","28","181"
"1993","101.802083333333","32","40","179"
"1994","103.010416666666","32","32","169"
"1995","86.609375","32","27","161"
"1996","82.640625","32","28","153"
"1997","83.625","32","35","127"
"1998","84.1875","32","34","143"
"1999","87.4270833333333","32","31","158"
"2000","78.5729166666666","32","26","161"
"2001","82.03125","32","29","151"
"2002","74.2916666666666","32","22","139"
"2003","78.7083333333333","32","15","173"
"2004","72.46875","32","20","143"
"2005","74.4635416666666","32","16","143"
"2006","66.9895833333333","32","22","138"
"2007","62.0625","32","19","136"
"2008","53.3489583333333","32","17","96"
"2009","47.1401041666666","32","13","96"
"2010","40.85","32","10.9","84.3"
"2011","33.715625","32","8","68"
"2012","31.1052083333333","32","8","65.4"
"2013","27.2453125","32","7","61.9"
"2014","27.0572916666666","32","8.6","54"
"2015","23.28125","32","5","39"
"2016","15.8","32","4.1","28"
"2017","14.7796875","32","3","29"
"2018","14.609375","32","3.8","20"
"2019","12.846875","32","3","31.6"
"2020","10.340625","32","3","16.4"
