"Year","Mean","Number of Trend Sites","10th Percentile","90th Percentile"
"2000","84.516129032258","31","26","163"
"2001","85.5677419354838","31","23","163"
"2002","81.3032258064516","31","22","163"
"2003","79.9612903225806","31","24","158"
"2004","71.8322580645161","31","22","124"
"2005","74.1032258064516","31","21","158"
"2006","62.6129032258064","31","16","120"
"2007","58.4419354838709","31","16","153"
"2008","50.5","31","13","111"
"2009","48.3016129032258","31","14","109"
"2010","37.2763440860215","31","10","84.3"
"2011","34.7591397849462","31","8.8","64.9"
"2012","27.0591397849462","31","6.3","65.4"
"2013","21.7059139784946","31","6","49"
"2014","21.9043010752688","31","5.2","40"
"2015","19.7435483870967","31","4","34"
"2016","12.7935483870967","31","2.7","27"
"2017","11.368817204301","31","1.9","22"
"2018","11.1811827956989","31","2.1","18"
"2019","9.35","31","1.1","15"
"2020","7.47096774193548","31","1.1","13.6"
