"Year","Mean","Number of Trend Sites","10th Percentile","90th Percentile"
"2000","45.9","10","7.5","101.5"
"2001","44.3","10","8.5","88"
"2002","42.2","10","7","98"
"2003","40.4666666666666","10","6.83333333333333","82.5"
"2004","43.1333333333333","10","6.66666666666666","93.5"
"2005","49.2","10","6.5","107"
"2006","37.5366666666666","10","5.35","78.8333333333333"
"2007","44.5333333333333","10","5.9","87.5"
"2008","37.22","10","5.35","79.5"
"2009","35.875","10","7.45","72.5"
"2010","45.13","10","6.05","84"
"2011","36.995","10","4.45","74.25"
"2012","45.95","10","4.75","116.95"
"2013","47.52","10","3.5","159.85"
"2014","41.72","10","3.5","136.5"
"2015","26.1","10","3.9","65.6"
"2016","20.56","10","2.9","55.7"
"2017","27.42","10","4.3","61.15"
"2018","21.36","10","3.9","46.15"
"2019","21.05","10","3.4","54.2"
"2020","17.64","10","3.5","38.45"
