"Year","Mean","Number of Trend Sites","10th Percentile","90th Percentile"
"2000","71.6470588235294","17","16","166"
"2001","64.235294117647","17","16","126"
"2002","51.8529411764706","17","12","109"
"2003","54.6176470588235","17","14","89"
"2004","60.7843137254902","17","11","115"
"2005","58.5686274509804","17","11","94"
"2006","62.4117647058823","17","4","137"
"2007","53.5882352941176","17","4","103"
"2008","46.3294117647058","17","5","85"
"2009","42.6941176470588","17","4","90.4"
"2010","39.485294117647","17","8.2","81.3"
"2011","31.0117647058823","17","8.6","62.3"
"2012","27.4","17","4.4","55"
"2013","24.2362745098039","17","3.9","52.75"
"2014","21.2490196078431","17","5.1","55.1"
"2015","17.1941176470588","17","3.4","37.6"
"2016","15.8882352941176","17","2.7","34.3"
"2017","15.1245098039215","17","2.96666666666666","26.7"
"2018","15.7843137254901","17","3.7","48"
"2019","13.0588235294117","17","2.8","37.4"
"2020","12.735294117647","17","3.1","47.1"
