"Year","Mean","Number of Trend Sites","10th Percentile","90th Percentile"
"2000","81.9444444444444","18","21","149"
"2001","79.0277777777777","18","21","146"
"2002","79.2222222222222","18","19","150"
"2003","67.9444444444444","18","17","143"
"2004","67.7685185185185","18","16","135.333333333333"
"2005","69.8518518518518","18","15","135"
"2006","68.6296296296296","18","22","109"
"2007","57.6111111111111","18","16","94"
"2008","50.6388888888888","18","12","119"
"2009","39.6111111111111","18","10","74"
"2010","44.5","18","10","104"
"2011","35.3055555555555","18","7","102"
"2012","27.4296296296296","18","5","77.9"
"2013","23.7759259259259","18","4.9","60"
"2014","22.6435185185185","18","5.5","56"
"2015","17.6537037037037","18","3","57"
"2016","15.7555555555555","18","3","44.55"
"2017","14.9861111111111","18","3.1","35.8"
"2018","13.825","18","3.6","37"
"2019","12.9277777777777","18","2.9","39.7"
"2020","12.7555555555555","18","2.6","42.4"
