"Year","Mean","Number of Trend Sites","10th Percentile","90th Percentile"
"2000","82","4","24","177"
"2001","107","4","15","267"
"2002","98.75","4","17","232"
"2003","102","4","13","280"
"2004","96.25","4","14","292"
"2005","96.75","4","15","295"
"2006","80.5","4","15","241"
"2007","98.5","4","12","322"
"2008","81.4166666666666","4","8","257"
"2009","87.3333333333333","4","10","274"
"2010","98.25","4","10","314"
"2011","65.25","4","8","189"
"2012","107","4","8","353"
"2013","83","4","8","256"
"2014","68.75","4","7","236"
"2015","70.75","4","7","246"
"2016","98.4","4","6","359"
"2017","78.275","4","8","279.9"
"2018","57.625","4","6.2","208.4"
"2019","52.025","4","5","190.8"
"2020","5.1","4","2.6","6.9"
