"Year","Mean","Number of Trend Sites","10th Percentile","90th Percentile"
"2000","73.9222222222222","9","15","179"
"2001","62.0333333333333","9","10","153"
"2002","56.137037037037","9","9","160"
"2003","61.0851851851851","9","11","135"
"2004","61.5611111111111","9","10","154"
"2005","67.1222222222222","9","15","165"
"2006","59.0333333333333","9","15","146"
"2007","63.5888888888888","9","12","226"
"2008","58.7666666666666","9","11.6","217"
"2009","47.7851851851851","9","7","145"
"2010","51.487037037037","9","13","162"
"2011","43.1333333333333","9","5","146.7"
"2012","48.5222222222222","9","7","174"
"2013","43.1","9","5","153.1"
"2014","42.0666666666666","9","6","162.2"
"2015","38.7444444444444","9","4","156.2"
"2016","28.9777777777777","9","3.7","129"
"2017","19.0444444444444","9","3.6","70.4"
"2018","19.8555555555555","9","3.7","67.4"
"2019","15.9222222222222","9","3.9","60.7"
"2020","14.2333333333333","9","4","43.3"
