"Year","Mean","Number of Trend Sites","10th Percentile","90th Percentile"
"2000","17.9375","16","3","42"
"2001","18.5625","16","3","32"
"2002","18.5","16","3","41"
"2003","16.4375","16","3","29"
"2004","16.875","16","3","23"
"2005","16.4583333333333","16","3","24"
"2006","17.6041666666666","16","4","24.6666666666666"
"2007","13.875","16","2","27"
"2008","10.8125","16","4","28"
"2009","6.9375","16","3","17"
"2010","6.3125","16","1","14.4"
"2011","6.68125","16","2","12.7"
"2012","9.21666666666666","16","2","12.1"
"2013","10.6708333333333","16","2.6","38"
"2014","7.64375","16","1.5","15.7"
"2015","5.15","16","1","11.8"
"2016","5.1125","16","1","10.7"
"2017","6.2625","16","1","15.8"
"2018","5.1","16","1","12.4"
"2019","4.75625","16","1","14.1"
"2020","4.375","16","1","9.7"
